URL,Version,Status,OIDs,Name,Title,Description,Used
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-cs-annex81-status-reason,1.1.0,active,,BeCSAnnex81StatusReason,eReferral Annex 81 Status Reason,"DEMONSTRATIVE EXAMPLE - Status reason for the Annex 81",
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-prescription-status-reason,1.1.0,active,,BePrescriptionStatusReason,BePrescriptionStatusReason,"DEMONSTRATIVE EXAMPLE - Status reason for the prescription. Initially defined as supporting CodeSystem for the referral prescription.",
https://www.ehealth.fgov.be/standards/fhir/drp/CodeSystem/be-treatment-status-reason,1.1.0,active,,BeTreatmentStatusReason,BeTreatmentStatusReason,"DEMONSTRATIVE EXAMPLE - Status reason for the treatment. Initially defined as supporting CodeSystem for the referral prescription.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-diabetic-education-type,1.1.0,active,,BeCSdiabeticEducationType,eReferral Diabetic Education Type,"Types of diabetes education activities.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-generic-care-types,1.1.0,active,,BeCSGenericCareTypes,eReferral Generic Care Types,"Types of care that can be prescribed via the generic prescription.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-glycemia-measurement-timing,1.1.0,active,,BeCSGlycemiaMeasurementTiming,eReferral Glycemia Measurement Timing,"Timing of glycemia measurements.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-imaging-modality,1.1.0,draft,,BeCSImagingModality,eReferral Imaging Modality,"Imaging modality types for prior imaging requests",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-imaging-priority,1.1.0,draft,,BeCSImagingPriority,eReferral Imaging Priority,"Priority codes for diagnostic imaging requests",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-note-types,1.1.0,active,,BeCSNoteTypes,eReferral Note Types,"Types of notes that can be associated with a prescription.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-prescription-type,1.1.0,active,,BeCSPrescriptionType,eReferral Prescription Type,"Technical types of prescriptions supported by the eReferral system. Used for routing and workflow purposes.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-pss-indication,1.1.0,draft,,BeCSPSSIndication,PSS Indication CodeSystem,"PSS indication codes for diagnostic imaging requests.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-radiology-supporting-info-role,1.1.0,draft,,BeCSRadiologySupportingInfoRole,eReferral Radiology SupportingInfo Role CodeSystem,"Defines the codes representing the roles of supporting information in an eReferral for radiology.",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-request-track,1.1.0,draft,,BeCSRequestTrack,eReferral Request Track,"Care setting track codes for diagnostic imaging requests",
https://www.ehealth.fgov.be/standards/fhir/terminology/CodeSystem/be-cs-session-types,1.1.0,active,,BeCSSessionTypes,eReferral Session Types,"Types of sessions for education or care activities.",
